iter	Passed	Remaining
1231	151155	94226
1232	151367	94159
1233	151579	94092
1234	151780	94017
1235	151988	93947
1236	152217	93890
1237	152423	93817
1238	152638	93751
1239	152848	93681
1240	153054	93608
1241	153252	93531
1242	153457	93457
1243	153668	93386
1244	153869	93310
1245	154072	93235
1246	154280	93162
1247	154482	93085
1248	154691	93013
1249	154909	92945
1250	155108	92866
1251	155318	92794
1252	155532	92723
1253	155740	92649
1254	155946	92574
1255	156153	92498
1256	156360	92422
1257	156570	92349
1258	156783	92276
1259	156986	92198
1260	157205	92129
1261	157425	92060
1262	157621	91977
1263	157838	91905
1264	158057	91835
1265	158250	91750
1266	158469	91679
1267	158678	91602
1268	158890	91527
1269	159091	91446
1270	159307	91373
1271	159521	91298
1272	159741	91227
1273	159940	91143
1274	160159	91070
1275	160381	91000
1276	160600	90927
1277	160814	90851
1278	161027	90774
1279	161234	90694
1280	161436	90611
1281	161654	90536
1282	161872	90461
1283	162079	90380
1284	162270	90290
1285	162484	90213
1286	162705	90139
1287	162917	90059
1288	163124	89977
1289	163332	89896
1290	163536	89811
1291	163737	89725
1292	163945	89643
1293	164152	89560
1294	164369	89482
1295	164580	89401
1296	164790	89319
1297	164996	89235
1298	165216	89158
1299	165428	89076
1300	165649	88999
1301	165870	88923
1302	166066	88831
1303	166286	88754
1304	166506	88676
1305	166714	88590
1306	166943	88516
1307	167154	88433
1308	167374	88354
1309	167600	88278
1310	167813	88194
1311	168039	88118
1312	168244	88030
1313	168457	87946
1314	168674	87864
1315	168879	87776
1316	169089	87690
1317	169289	87598
1318	169505	87515
1319	169745	87444
1320	169948	87354
1321	170163	87269
1322	170365	87178
1323	170581	87094
1324	170796	87009
1325	171010	86923
1326	171220	86835
1327	171430	86747
1328	171652	86665
1329	171861	86577
1330	172068	86486
1331	172288	86403
1332	172493	86311
1333	172700	86220
1334	172914	86133
1335	173119	86041
1336	173339	85956
1337	173544	85864
1338	173757	85775
1339	173985	85694
1340	174193	85603
1341	174406	85513
1342	174626	85427
1343	174838	85337
1344	175044	85244
1345	175260	85156
1346	175468	85063
1347	175689	84977
1348	175908	84889
1349	176103	84790
1350	176303	84693
1351	176530	84609
1352	176744	84518
1353	176956	84427
1354	177175	84337
1355	177380	84242
1356	177576	84142
1357	177782	84047
1358	177983	83949
1359	178203	83860
1360	178435	83776
1361	178644	83682
1362	178864	83592
1363	179064	83493
1364	179263	83393
1365	179470	83297
1366	179678	83201
1367	179887	83105
1368	180100	83012
1369	180306	82914
1370	180538	82828
1371	180744	82731
1372	180954	82635
1373	181202	82556
1374	181407	82458
1375	181623	82364
1376	181823	82262
1377	182032	82165
1378	182237	82066
1379	182454	81972
1380	182674	81879
1381	182891	81784
1382	183102	81687
1383	183297	81583
1384	183503	81483
1385	183707	81382
1386	183915	81283
1387	184141	81191
1388	184346	81091
1389	184552	80990
1390	184781	80899
1391	184996	80803
1392	185205	80703
1393	185400	80597
1394	185596	80491
1395	185783	80381
1396	185988	80279
1397	186188	80175
1398	186387	80070
1399	186576	79961
1400	186797	79865
1401	186998	79761
1402	187202	79657
1403	187398	79550
1404	187595	79444
1405	187818	79348
1406	188028	79247
1407	188218	79137
1408	188433	79037
1409	188629	78929
1410	188833	78825
1411	189032	78719
1412	189239	78615
1413	189451	78513
1414	189666	78413
1415	189888	78315
1416	190093	78210
1417	190290	78102
1418	190500	77999
1419	190713	77897
1420	190929	77795
1421	191132	77689
1422	191333	77582
1423	191551	77481
1424	191763	77378
1425	191969	77272
1426	192175	77166
1427	192384	77061
1428	192597	76958
1429	192798	76849
1430	192989	76737
1431	193185	76626
1432	193402	76524
1433	193606	76416
1434	193812	76309
1435	194024	76204
1436	194234	76098
1437	194429	75987
1438	194633	75878
1439	194844	75772
1440	195062	75669
1441	195285	75567
1442	195492	75460
1443	195694	75350
1444	195905	75244
1445	196113	75136
1446	196324	75029
1447	196518	74916
1448	196732	74810
1449	196968	74712
1450	197176	74603
1451	197391	74497
1452	197615	74394
1453	197827	74287
1454	198052	74184
1455	198263	74076
1456	198477	73969
1457	198682	73858
1458	198886	73747
1459	199081	73633
1460	199285	73521
1461	199491	73410
1462	199711	73304
1463	199953	73206
1464	200168	73099
1465	200375	72988
1466	200579	72875
1467	200796	72768
1468	201003	72656
1469	201205	72543
1470	201408	72430
1471	201616	72318
1472	201816	72204
1473	202039	72098
1474	202236	71982
1475	202434	71866
1476	202649	71757
1477	202875	71651
1478	203070	71534
1479	203292	71427
1480	203492	71311
1481	203706	71201
1482	203919	71089
1483	204140	70981
1484	204345	70867
